"Transcription","Backchannel","Pair"
"Ja","1","56"
"Ja. Okei men da, prikk, prikker","1","56"
"Okei, så har den tynne armer og det, og så prikker","0","56"
"Den har tykke bein","0","56"
"Åja, ja","1","56"
"prøv å tappe han","0","56"
"Tappe han? Ja. Åja, okei.","0","56"
"Ignored, okei","0","56"
"prikker er iallefall drepe. Okei, prikker","0","56"
"Prikker, tynne armer.","1","56"
"Da må vi iallefall drepe han","0","56"
"Eh, ja skal vi prøve å drepe den?","0","56"
"Det er nok en kombinasjon med noe annet, for jeg tror ikke prikker automatisk, eller sånn utelukkende sier","0","56"
"at man skal depe den","0","56"
"Nei. Den må være bare friendly tror jeg. Tynn, tynn, stor kropp, vennlig fjes.","1","56"
"Ja","1","56"
"Sto store bein","0","56"
"Den ser veldig friendly ut ja. Store bein. Skal vi","0","56"
"Okei","0","56"
"Tynne bein, stor kropp, store armer, prikker i","0","56"
"Da er det prikkene","0","56"
"Skal vi prøve å, for den må jo tappes men om, nei tappes, men om den skal tappes eller tappes og drepes","0","56"
"Jeg ville prøvd begge","0","56"
"Skal vi prøve begge?","0","56"
"Should´ve tapped","0","56"
"Okei. Den hadde tynne, mm, vi haha.","0","56"
"(kremt)","0","56"
"Okei","0","56"
"Okei, så du, du ser ikke Entity?","0","56"
"Hm?","0","56"
"Du ser ikke Entity?","0","56"
"Nei, jeg ser bare et kart","0","56"
"Ja, du ser Camera Shop og Elotments og?","0","56"
"Ja","0","56"
"Okei. Ser du Start?","0","56"
"Ja","0","56"
"Fra starten da, så trekker du en linje til, på venstre av kamera siden. Eller Kamera Shoppen.","0","56"
"Ja","1","56"
"Den skal bare gå ned da, og så skal han ta en slags, eh","0","56"
"U","0","56"
"Under Parked Van","0","56"
"Okei","1","56"
"Da går han opp og så stopper han med, til venstre for Elotments","0","56"
"Stopper den der?","0","56"
"Ja, så kan vi ta videre nå","0","56"
"Og det er, det er hele stien?","0","56"
"Nei, det er ikke hele stien","0","56"
"Nei, åja","1","56"
"Vi skal helt opp til East Lake da men det tar vi etter hvert","0","56"
"Okei","1","56"
"Okei, så du er til venstre for Elotments nå?","0","56"
"Ja","0","56"
"Ehm","0","56"
"Skal vi se","0","56"
"Okei, så trekker du en linje mot høyre, litt opp til han er parallell mot East Lake helt oppe.","0","56"
"At du bare, at du bare, eh, tegner mot høyre og så stopper du når han er på samme nivå som East Lake.","0","56"
"Eh, hva mener du? Altså, skal den mellom Al Pine Garden og Disused Monestary, Youth Hostel, Telephone Box og alt opp der?","0","56"
"Nei, han skal bare, han skal liksom","0","56"
"rett til høyre fra Elotments, men han skal ha en liten helling oppover","0","56"
"Mm. Så den kommer på en måte, eh, sør-øst for Disused Monestary","0","56"
"mm","1","56"
"Okei","0","56"
"Og så, eh, stopper du","0","56"
"Ja. Oi","1","56"
"Eh","0","56"
"Og så stopper du når du er på en måte rett under, eh, høyre for eh Disused Monastary","0","56"
"Ja, sånn skrått til høyre?","0","56"
"Ja","0","56"
"Ja og så skal han gå i en bue over Disused Monastary","0","56"
"Mm Okei","1","56"
"Og så ned igjen på andre siden liksom?","0","56"
"Eh, ja da skal han ha en, en svak bue før han går opp til venstre for Al Pine Garden","0","56"
"Ja","1","56"
"Er du til venstre for Al Pine Garden nå?","0","56"
"Ja","1","56"
"Ja. Så er det litt opp for Al Pine Garden så er det en skarp sving til høyre. Før du kommer opp til venstre for Youth Hostel.","0","56"
"Okei, nå er jeg til venstre for Youth Hostel","0","56"
"Ja. Og så skal du tegne over Youth Hostel. Og når du er på høy","0","56"
"I en sånn bue over liksom?","0","56"
"Ja, bare en, bare en, at du går videre over. Også når du er på","0","56"
"Okei, ja. Da var jeg kanskje litt for langt ned, haha.","1","56"
"Jaja","1","56"
"Er du på høyre kanten av Youth Hostel nå? På huset?","0","56"
"Vel, litt over, men oppe til høyre","0","56"
"Ja, men det går fint det","0","56"
"Ja","1","56"
"Så skal du trekke en skrå linje ned mot T-en i Telephone Box. Sånn at du havner rett under T-en.","0","56"
"Ja","1","56"
"Eh, og så går du under ordet. Kommer du opp mot, forbi X-en da.","0","56"
"Ja","1","56"
"Og så","0","56"
"pittelitt over selve telefonboksen. Til høyre for han.","0","56"
"Mm","1","56"
"Så skal du","0","56"
"Tegne en svak bue som går forbi T-en i Thatched Mud Hut","0","56"
"Okei. Sånn mot East Lake?","0","56"
"Ja så, så går du opp eh mot East Lake, og når du nærmer deg East Lake så går du til","0","56"
"eh, venstre med en svak bue oppover. Eller svak stigning oppover.","0","56"
"Okei, jeg vet ikke helt om det her ble så bra bue det her ble bare sånn","1","56"
"Og så","0","56"
"Okei, hvor er du nå?","0","56"
"Nå er jeg litt sånn, eh","0","56"
"Du ser den ene kanten på East Lake?","0","56"
"Ja, den har et sånt hjørne nede til venstre der. Jeg er litt forbi det. Mellom den og Parked Van.","0","56"
"Ja, men da er finished da.","0","56"
"Det er der den skal?","0","56"
"Ja jeg tror det","0","56"
"Okei, så den skal ikke til inn i East Lake. Okei. Ja. Skal jeg trykke Enter da.","0","56"
"Nei","1","56"
"Ja, da er jeg spent","1","56"
"Og så skal vi bytte? Jeg tror ikke vi får noe svar på, haha, hvordan vi gjorde det.","0","56"
"Mhm","1","56"
"Okei","0","56"
"Jeg må kanskje sitte sånn at jeg kan xxx. Skal jeg, du bare trykker så gjør jeg ingenting?","0","56"
"Mm","1","56"
"Okei, eh, ja vi kan jo begynne på Start.","0","56"
"Mhm","1","56"
"Eh, du skal fra Start-krysset, bare ganske rett nedover, eh, helt til du kommer på en måte ved siden av den D-en i Diamond Mine.","0","56"
"Og så skal du følge til høyre under ordet Diamond Mine","0","56"
"Okei","1","56"
"Ehm","0","56"
"Og så fortsetter du å følge med en svak helning oppover mot S-en i Spring Box, Spring Box, Box, jeg vet ikke hva det står.","0","56"
"Ja","1","56"
"Eh","0","56"
"og så skal du på en måte bare følge, eh, en liten sånn bue på en måte halvveis rundt, eller det blir på en måte sånn at den slynger seg mellom Spring Box og den Highest View Point.","0","56"
"Okei, så jeg skal over open spring box?","0","56"
"Ja, bare sånn, eh, åja, å jeg prøver å ikke gestikulere sånn for å vise med hendene og sånn, men ja, den skal eh, opp og så til venstre sånn at den er eh, nesten halvveis over Spring Box og så skal den snu til høyre igjen og gå over highest viewpoint i en bue og så ned på andre siden. Hvis du skjønner.","0","56"
"Mellom","0","56"
"Som om du skulle kjørt slalom mellom de to liksom. Spring Box og Highest View Point.","0","56"
"Okei","1","56"
"Hvis det gir mening, haha.","0","56"
"Jeg er under H-en i Highest Spring, Viewpoint.","0","56"
"Ja, så skal du bare mellom den, jeg ser ikke helt hva det er, men de der dyrene eller noe som står på Spring Box og så mellom den H-en i Highest Viewpoint, og så skal du derfra bare tegne en halvsirkel rundt Highest Viewpoint til du kommer ned på høyresiden av Highest Viewpoint på en måte.","0","56"
"Okei, jeg kan, skal vi se","1","56"
"Er du på høyresiden nå av Highest Viewpoint?","0","56"
"Ja, jeg er under H-en","0","56"
"Du er under H-en?","0","56"
"Ja","0","56"
"Men du har ikke tegnet deg rundt Highest Viewpoint?","0","56"
"Jeg har ikke tegnet rundt enda","0","56"
"Okei","1","56"
"Eh, nå skal vi se","0","56"
"Du skal bare i en bue over Highest Viewpoint på en måte. Mot høyre.","0","56"
"Okei","1","56"
"Over hele det fjellet, tegningen av det fjellet.","0","56"
"Ja, da er jeg til høyre for T-en","0","56"
"Ja","1","56"
"Og så skal du fortsette bare littegrann nedover","0","56"
"Eh, til du er litt ovenfor den, ca. ovenfor midten eller litt til høyre for midten av den Safari-trucken. Altså selve tegningen på en måte.","0","56"
"Ja, da er jeg her","1","56"
"En liten cm over eller noe sånt","0","56"
"Og så skal du eh","0","56"
"Eh ha en","0","56"
"Eh, skrå, altså en sving ned mot venstre.","0","56"
"Sånn en diagonal som skal gå ned mot venstre, eh, må bare tenke hvordan jeg skal forklare det.","0","56"
"Eh","0","56"
"Det er mer eller mindre en ganske rett eh, skrå linje mot venstre eh, sånn at en ender opp eh med å gå rett under ordet på Field Station.","0","56"
"Fra liksom over Safari Track og så bare","0","56"
"Okei, da har jeg gjort det","1","56"
"Så er du liksom ferdig med å gå under det ordet på Field Station","0","56"
"Okei, skal jeg under hele ordet?","0","56"
"Ja, du skal under hele ordet og så fortsetter du litt bort","0","56"
"til du er på en måte sånn skrått eh, til venstre over den palmen, eller banantreet.","0","56"
"Okei","1","56"
"Og så skal du på en måte bare fortsette kurven sånn rundt banantreet, men ikke rundt under banantreet, bare rundt og så fortsette rett nedover.","0","56"
"Du skal etter hvert under ordet på Gold Mine også.","0","56"
"Ja","1","56"
"Da er jeg til venstre for Gold Mine","0","56"
"Ja, så skal du bare følge linjen sånn at ordet på Gold Mine blir understreket","0","56"
"Ja","1","56"
"Da er du ferdig med det, sant?","0","56"
"Mm","0","56"
"Og så skal du i en relativt rett linje opp til høyre og så skal du krysse Rope bridge som om du går over broen liksom.","0","56"
"Okei","1","56"
"Ja, da er jeg på andre siden","0","56"
"Ja, og så skal du eh, littegrann lenger ut til høyre, litt nedover, og så skal du på en måte fortsette ned og komme rundt giraffene på undersiden, på høyre underside liksom. I en bue.","0","56"
"Mm, okei. Da er jeg under G-en i giraffe.","1","56"
"Ja, eh, og så fortsetter du mot venste men buen går litt oppover.","0","56"
"Før den går ganske langt ned igjen sånn at den kommer seg under der hvor det står Great Lake.","0","56"
"Da er jeg under K-en i lake","0","56"
"Og så skal du, eh, bare litt videre bortover og så en ganske jevn bue opp til Finish-krysset","0","56"
"Okei, det var bare to? Ja, vi hadde jo bare ti minutter så det ble kanskje","0","56"
"Ja","0","56"
"Se biten for eh","0","56"
"Ja","1","56"
"Min var jo kanskje lettere da","0","56"
"Den ruten du fikk? Ja, kanskje.","0","56"
"Ja, det var liksom","1","56"
"Den som jeg, den som jeg skulle forklare til deg","0","56"
"Ja","1","56"
"Den var veldig sånn, men det er vanskelig fordi jeg føler at jeg har lyst å gestikulere og si sånn og så går du sånn, og så under der, og så, ja, men det er jo sikkert ikke så lurt heller","0","56"
"Kanskje ikke det de vil se på.","0","56"
"Discuss and agree on two different kinds of superpowers you would want to have.","0","56"
"Åh, det her har jeg tenkt på før, haha. Jeg har tenkt på sånn Er det gøy å være usynlig eller å kunne bli usynlig når man vil, eller er det bare jævlig irriterende. Hva skal du bruke det til? Spionere på folk? Eller høre hva de sier om deg, haha.","0","56"
"Jeg tror alle har tenkt på det der før","0","56"
"Ja, man ser jo kanskje for seg at eh å jeg kommer til å havne i disse her scenarioene vet du, men egentlig så lever du jo et ganske dagligdags liv.","0","56"
"Det er det. Hva skal man med det liksom.","0","56"
"Jeg ville hatt superkraften av å kunne dra maten ut av datamaskinen. Så hvis jeg googlet sushi så kunne jeg *klikk med tungen*","0","56"
"Det er en veldig bra, det, åh, det hadde vært digg. Da kunne du fått sånn dyr, god mat gratis. Digg sushi sånn fancy sushi.","0","56"
"Mm","1","56"
"Det er nummer en, og så ville jeg hatt å kunne fly.","0","56"
"Å kunne fly?","0","56"
"Mm","1","56"
"Tenker du, men, jeg skjønner, jeg ser apellen i det men er det, for jeg har alltid tenkt på sånn, det er veldig kaldt der oppe og det er jo dårlig sikt og ville du vært beskyttet mot sånne faktorer da?","0","56"
"hatt på deg sånn drakt","0","56"
"Du må jo pakke i deg en kjeledress og eh, motorsykkelhjelm, ja, men jeg tenker sånn helt til dagligdagse ting som å gå opp den jævla trappen til johanneskirken for eksempel, når du bare kan *flylyd*.","0","56"
"mariusgenser og ullvang","0","56"
"Ja, bare fly opp?","0","56"
"Ja, jeg har tenkt på det der med å kunne teleportere. Eller sånn, for eksempel hvis du å jeg rekker ikke bybanen, at du bare knipser deg til bybanestoppet liksom.","0","56"
"mm","1","56"
"mm","1","56"
"Eller, eh, når duhar sånn der forelesning ferdig klokken 10 og så har du en ny som begynner kvart over 10, og så er det liksom i en helt annen bygning. Og så rekker du aldri å på en måte kjøpe en kaffe imellom eller kjøpe mat imellom eller hente det du skal eller hva som helst, du kan bare knipse deg fram. Det hadde blitt så sykt mye mer effektivt.","0","56"
"mm, ja verden hadde blitt eh, ja","1","56"
"Slippe reisetid til jobb. Da hadde jeg fått på en måte, jeg bruker nesten en time til jobb så jeg hadde jo fått en ekstra par timer hver dag til å gjøre hva jeg vil. Det hadde vært skikkelig digg.","0","56"
"mm","1","56"
"Men da kunne enten, enten fly eller teleportere. Fly er jo litt mer apellen i at du har den friheten i å kunne sveve men teleport er jo så *knips* så fort.","0","56"
"ja","1","56"
"Ja, det høres jo kult ut","1","56"
"Men så tenker jeg også, hvis folk ser det","0","56"
"så blir de jo litt eh","0","56"
"på hva er dette for noe? Så hvis man skal teleportere så må man kanskje gjemme seg litt bort, og så knipse, for da forsvinner man jo. Og så teleportere til et sted hvor man, dette her tenker vi på, hvis du flyr opp Johanneskirketrappa så ser jo folk det og.","0","56"
"Ja men det er bare kult det, får folk være litt eh","0","56"
"Men tenk om du blir et research-objekt fordi ingen skjønner hvorfor du kan fly og så må de","0","56"
"Du er utsatt.","0","56"
"Du er utsatt, ja, du er det.","0","56"
"Okei, men da kunne jeg hatt fly, og så kunne jeg hatt eh","0","56"
"Og usynlig i tillegg. Så flyr, er du usynlig når du flyr. Men det blir litt det samme som å teleportere da. På en måte.","0","56"
"mm","1","56"
"Ja, eller jeg","1","56"
"Ja, men da slipper du å gå inn i et smug og ut et annet.","0","56"
"Det er sant.","1","56"
"Det er vel kanskje litt mer praktisk å fly for da kan du for eksempel eh, hvis du skal vaske noen vinduer som er kjempehøyt oppe, hehe, eller sånn rekke opp til noe høyt, du kan ikke teleportere deg opp der, du faller jo bare ned igjen. Men hvis du kan fly så kan du være der oppe.","0","56"
"Men og hvis du, hvis du flyr da uten at du er usynlig, og så ser folk deg på xxx kult, men så er det noen litt sånn vi får ta å eksperimentere på han. Så skal de til og ta deg og så bare vekke.","0","56"
"Kan du, kan du bare bli usynlig så folk ikke tar deg?","0","56"
"Ja","1","56"
"Ja","1","56"
"Det er sant. Jeg har også tenkt litt på, for du har sett, du har sett De Utrolige, sant?","0","56"
"Ja","1","56"
"Der er det jo hun Elastika. Hun er også egentlig ganske kul. At hun kan liksom strekke seg og nesten på en måte bli til hva hun vil, sånn gummi.","0","56"
"Ja","1","56"
"Det var litt gøy da. Hun rekker jo opp til alle ting","0","56"
"Hun kan neste fly for hun kan ta sånn skikkelig sånn spensthopp, lange distanser.","0","56"
"mm","1","56"
"Det er jo også kult.","0","56"
"Det er artig at de tar superkrefter da.","0","56"
"Hm?","0","56"
"Det er artig at de tar, eh, diskuterer superkrefter. Du ser ikke på Anime?","0","56"
"Ja","1","56"
"Nei","0","56"
"Ikke? Nei, det er","0","56"
"Eller jeg har sett på faktisk en serie, for kjæresten min ser på anime, men jeg har sett på en som heter One Punch Man. Og den er veldig morsom.","0","56"
"Ja, men det er jo","0","56"
"Det er kanskje ikke sånn klassisk anime da men","0","56"
"eller?","0","56"
"Jo, det er jo det xxx","0","56"
"Jeg føler det er litt sånn at de er litt sånn, eh, at noen ting er litt sånn parodi på sånne typiske anime scenarioer og sånn. De der typiske anime karakterene. Litt sånn parodi på det. Jeg syns One Punch Man er dritgøy.","0","56"
"Ja, ja, sånn ja","1","56"
"Mm","1","56"
"Ja. Nei, det jeg tenkte på var noe som heter Boken og Hero.","0","56"
"Den har jeg ikke hørt om","0","56"
"Ja, det er sånn, eh, superhelt eh, opplegg da. Det handler om, eh","0","56"
"et samfunn der folk er født med superkrefter, eh, så du får superkreftene når du er ca. 4-5 år gammel da, og det kan være alt mulig. Det er en som skyter tape ut av albuene sine","0","56"
"mm","1","56"
"Haha","0","56"
"Eh","0","56"
"Er det nyttig? Haha.","0","56"
"Men, ja men det er jo det at folk vil jo bli super, superhelter, basert på hva de har da. Og om han vil bli superhelt med å skype tape ut av albuene, det går jo det.","0","56"
"Ja","1","56"
"Ja","1","56"
"Så finner han ut en måte liksom, ja","0","56"
"mm","1","56"
"Hva mer er det da?","0","56"
"Ja, det er jo","0","56"
"Jeg syns hvertfall den serien er veldig artig da. Men den handler om en som blir født uten.","0","56"
"Han blir jo plaget og mobbet for det og","0","56"
"Åå","1","56"
"Han er den eneste som ikke har sånn rar superkraft liksom?","0","56"
"Ja","0","56"
"Ja","0","56"
"Så har du jo den største superhelten av de alle da. Han er jo sånn typisk supermann, eh, krefter. Det er ikke noe sånn rart. Så en dag så gir han kreftene sine til han som var født uten.","0","56"
"mm","1","56"
"mm","1","56"
"Åå","1","56"
"Og så skjer det spennende ting?","0","56"
"Ja","0","56"
"Hah, kult.","0","56"
"Det var kanskje litt spoiler, men, eh","0","56"
"Det er gøy","0","56"
"Neida, men det, det kan hende jeg aldri kommer til å, haha, jeg vet ikke. Jeg syns hvertfall eh, One Punch Man var veldig gøy, as. Jeg vet ikke. Litt sånn","0","56"
"Ja, men det er, det er gøy humor i den.","0","56"
"morsom","0","56"
"Ja","0","56"
"Fordi han er jo","0","56"
"Ah, det er jo veldig gøy, for han er jo sånn, han hater jo å være verdens sterkeste mann, eller verdens liksom, ja, å være One Punch Man da. Han har bare lyst til å gå på salg og kjøpe billig ramen-nudler og se på TV liksom. Og så","0","56"
"Han, han er verdens sterkeste, men han vil ikke være det.","0","56"
"Ja, og det er veldig, det er morsomt konsept liksom. Så kommer det folk og vil sloss mot han og han bare ah, så kjedelig. Pling, Pling, drep alle liksom med en liten sånn, ja","0","56"
"mm","1","56"
"mm","1","56"
"Det er gøy.","0","56"
"Ja.","0","56"
"Han går jo til slutt i seg selv for å finne en motstander som kan tåle minst 1 slag av han.","0","56"
"Ja","1","56"
"Det er gøy","0","56"
"Jeg så det for en stund siden, men jeg har ikke sett, det har jo sikkert komt ut mer.","0","56"
"Ja for jeg så, vi så litt på det i fjor, og så tror jeg vi så ferdig hele den sesongen som hadde kommet ut, eller om det var to sesonger som hadde kommet ut eller noe. Så venter vi på mer. Hehe.","0","56"
"Ja","1","56"
"Det er gøy. Jeg har ikke tenkt på det, kanskje, jeg har ikke sjekket det på lenge, om det har kommet ut noe.","0","56"
"Det er gøy","0","56"
"Vet du noe mer Anime kjæresten din har sett da? Har han god smak?","0","56"
"Jeg vet ikke. Jeg, eh, det er noen ganger jeg ser at han ser på et eller annet, og så sier jeg sånn Å, hva er det? og så sier han sikkert et eller annet, så glemmer jeg det. Jeg er ikke så, jeg er ikke så flink på å huske hvilke ting det er.","0","56"
"Nei","1","56"
"Men den One Punch Man er den eneste han har vist meg da, som han har sett på.","0","56"
"Ja","1","56"
"Så ser han ofte på det sånn, jeg tror ikke han, for han ser liksom ikke på det så mye når jeg er der. Da ser vi heller på noe annet sammen som begge ser på. Så han ser på det hvis han sånn, hvis han legger seg litt senere enn meg ser han på det eller så, ja","0","56"
"Jeg vet ikke jeg.","0","56"
"Hva slags andre spørsmål er det?","0","56"
"Wierdest conversation you have overheard","0","56"
"Jeg har så dårlig hukommelse på sånt så det klarer ikke jeg å svare på.","0","56"
"mm","1","56"
"Wierdest conversation you´ve heard","0","56"
"Jeg overhørte en gang en krangel i, jeg var på sånn camping på sommeren med familien min da jeg var sånn, jeg var sikkert sånn 12 år eller noe. Og så var vi på camping hvor det var sånn telt og greier, og der var det i teltet ved siden av oss, eller eh, et stykke unna så var det et eh kjærestepar, kanskje i 30årene eller noe, jeg vet ikke, jeg hørte bare stemmene deres da, jeg vet ikke hvordan de så ut. Men de var sikkert på campingtur sammen, det hørtes ut som de var kjørester. Og de kranglet så sykt høylydt på kvelden, den ene kvelden. Og jeg tror ikke de helt skjønte at liksom, telt er ikke noe, det er ikke noe vegg, det er bare haha, det er liksom bare et laken. Så de kranglet om sånn Nei det var du som ødela glidelåsen, bla bla bla.","0","56"
"- hadde dette kjøleskapet som stod på dag inn, dag ut. Og det lagde denne forferdelige lyden","0","57"
"Kjøleskapet?","0","57"
"Kjøleskapet","0","57"
"Ja","1","57"
"Ja, så liksom, hver, eh, natt, da så var det sånn der (lyd) og d- og d- og det l- og det- ja","0","57"
"Åh, så irriterende","0","57"
"Ja","1","57"
"Så jeg sov med- i et helt år med ørepropper, haha","0","57"
"Men, var det hennes kjøleskap, liksom?","0","57"
"Jepp","0","57"
"Åh, ok. Da så. Haha. Sa ikke du noe da?","0","57"
"Mm","1","57"
"Jo da, men, eh, hun nekta på å ta det, eh, det der ut, og, eh-","0","57"
"(host)","0","57"
"Hva, var hun døv, eller? xxx ikke hørte det","0","57"
"Nei, jeg har ik- jeg har ingen idé","0","57"
"Åh, nei det- det skjønner jeg er irriterende","0","57"
"Nei, og, eh, le- Hun utleigeren var jo- er jo bare den latsabben, sant? Så var jo ingen- var jo ingenting gjort. Haha","0","57"
"Mm, skjønner","1","57"
"Ja, ja","0","57"
"Ja, nei, jeg vet ikke helt. Eh. Jeg tror det bare er, eh, rett og slett sånn, når folk ikke rydder opp etter seg. Haha. Og, jeg bor attmed sånn 4 andre karer nå, sånn som er v- voksne, og da blir det sånn (sukk) det- alt- alltid rotete, haha.","0","57"
"Mm","1","57"
"Haha","1","57"
"Hm, rotekopp","0","57"
"Mm","1","57"
"Men, eh, det er ikke noe verre enn det, på en måte","1","57"
"Nei, jeg va- je- je- je- je- jeg- jeg vet dette, for jeg har vært der, men jeg prøver liksom, gjøre- forbedre den, eh, den delen, så- haha","0","57"
"Ja","1","57"
"Ja, ja","0","57"
"Skal vi se- jeg har al- faktisk aldri hatt noen dårlige sjefer","0","57"
"xxx","0","57"
"Mm","1","57"
"Eh","0","57"
"Men nå xxx hatt så mange ar- plasser jeg har arbeidet","0","57"
"Haha","1","57"
"Liker å holde ting fast","0","57"
"xxx","0","57"
"Ja, jeg har jobba på en bensinstasjon, og hun var veldig latsabb, for å si det sånn. Fordi at det v-","0","57"
"Åja, sånn slaur? Haha","0","57"
"Ja, men det var bare at det, eh, altså, b- basically, bensinstasjonen var- så nedlagt ut, altså- Men, det var liksom- hun ga- hun bestilte ikke inn bensin og diesel nok. Så det var liksom, hele tiden så kom folk og så spurt- skulle de liksom fylle, og så jeg bare sånn: Eh, sorry, vi har ikke, liksom xxx","0","57"
"Åja, haha","0","57"
"(sukk) Det er en bensinstasjon","0","57"
"Ja, ikke sant? Det er en bensinstasjon, du skal liksom ha bensin. Så, ja, det var irriterende","0","57"
"Mm","1","57"
"Really bad at","0","57"
"Ja, hva er jeg dårlig på? Jeg vet jeg, eh, d-","0","57"
"Åh, ingenting, haha","0","57"
"Haha","0","57"
"Nei, men d- v- helt spesifikt, det er så mange ting, så, eh. Hva jeg er verst på, eller? Eh","0","57"
"Skippe han? Haha","0","57"
"Hæ?","0","57"
"Skippe han?","0","57"
"xxx","0","57"
"Hoppe over han","0","57"
"Åja, nei, men m- må jo finne noe","0","57"
"Mm","0","57"
"Jeg er dårlig på, rydde rommet ofte nok. Jeg er s-","0","57"
"Støvsuge, jeg hater å støvsuge","0","57"
"Hm","1","57"
"Er så mys- mye kjekkere og v- d- je- je- je- jeg kommer jo aldri fram til å gjøre det før jeg føler det un- und- under tærne når jeg går barrfot. Haha. Det er s- er s- s- som jeg sa, jeg prøver å endre det der ryddeaspektet, så, haha","0","57"
"Haha, åh, ja, jeg ser den","1","57"
"Ja","1","57"
"Mm","1","57"
"Nei, det er jo andre ting","0","57"
"xxx","0","57"
"Vanskelig å vite det, da, haha","0","57"
"To sv- tv-serier. Har du fått med deg Rick & Morty?","0","57"
"Haha, ja, det har jeg jo","0","57"
"Mm","1","57"
"Eh, Westworld?","0","57"
"Ja, jeg så ikke den ferdig","0","57"
"Nei","1","57"
"Jeg begynte å-","0","57"
"Avslutningen er mindfuck","0","57"
"Er den det?","1","57"
"Jaha","0","57"
"Hm, jeg burde kanskje se den ferdig en gang","0","57"
"Jeg lo- jeg lover deg. D- den er verdt å se ferdig, haha, for det er bare så utrolig bra, eh, s- de- de- ,jeg tror det er to, siste episodene som er helt what the shit?, haha","0","57"
"Hm","1","57"
"Hm, da burde jeg nesten se de. Hm","0","57"
"Mm","1","57"
"En annen- xxx","0","57"
"(sukk)","0","57"
"Jeg vet ikke","1","57"
"Mm","1","57"
"Jeg har sett veldig masse Marvel i det siste, av en eller annen grunn. Jeg begynte med Jessica Jones, og det v- syntes jeg var drittbra. Og så bare så jeg alle disse andre for å kunne se The Defenders. Eh, men, eh, ja. De andre var ikke så veldig bra da, men Jessica Jones, den likte jeg","0","57"
"Ja","1","57"
"Mm","1","57"
"Mm","1","57"
"Jeg vet ikke om du liker-","0","57"
"Nei, s- Marvel sine TV-serier, DC sine TV-serier, jeg er ikke så glad i de to","0","57"
"Mm","1","57"
"Fordi alltid, eh, DC har det problemet med det at de har alltid den der, eh, kvinnekarakteren som skal liksom være den moralske bakgrunnen, men gjør egentlig aldri noe","0","57"
"Hv- hva er det du tenker på da, da?","0","57"
"Nei, det er liksom, eh, Felicity Jo- eh, Felicity Jones som egentlig bare er der og egentlig ikke gjør noe","0","57"
"xxx","0","57"
"Hm?","0","57"
"xxx","0","57"
"Arrow","0","57"
"Arrow. Åja, jeg har ikke sett den","0","57"
"Så har du, eh, en annen en, eh, men, u- uansett, de har med s- de- de- de- de har alltid xxx denne karakteren, uansett hvilken serie, mann, kvinne, uansett. Det er alltid én karakter der som bremser ned, fordi at det xxx, av ingen grunn","0","57"
"Åh, stopp dette er ikke bra, liksom?","0","57"
"Ja, ja, sånn, ja det skal være den moralske bakgrunnen, men på samme måte så er det liksom de som bare pøser seg selv opp","0","57"
"Ja, xxx, mm","1","57"
"Mm","1","57"
"For å være en del av teamet uten å egentlig ha noe, eh- no- no- noe relevant til å. til å tilegne til å, liksom- du har, eh, disse smarte, du har de som, eh, gjør- gjør det, men så har du de som bare sitter der og ikke gjør noe, og liksom skal være de viktige","0","57"
"Noe de gjør der, liksom","0","57"
"Ja","1","57"
"Mm","1","57"
"Ja, jeg ser den, ja","0","57"
"Mm","1","57"
"xxx","0","57"
"Den rareste tingen der jeg har vokst opp","0","57"
"Mm","1","57"
"(kremt)","0","57"
"Rar ting, nei, eh. Hvo- hvor å begynne? Haha. Eh, det er en plass der alle kjenner alle, omtrent, så, haha","0","57"
"Ja, s- samme her, haha","0","57"
"Mm","1","57"
"Var det sånn liten plass du vokste opp?","0","57"
"Eh, liksom, me- me- men om du vokste opp med det, er det egentlig så rart? Liksom, eh, sant?","0","57"
"En legger vel merke til det senere når en får mer st- andre standarder","0","57"
"Ja","1","57"
"Nei, men, eh, ok- ok- ok- ok- ok, da er det d- det rareste med den der er hvor u- jækla unormal den der bygda er, eh-","0","57"
"Hvordan da?","0","57"
"Ingenting skjer der. What so ever. Liksom-","0","57"
"Er ikke det sånn basically alle bygder?","0","57"
"Jo, men liksom, ingenting utenom det vanlige skjer der what so ever. De- d- de sprucer det kanskje litt opp med, eh, med- med en liten festival nå og da, men utenom det-","0","57"
"Haha","1","57"
"Hm","1","57"
"Ja","1","57"
"Ingenting?","0","57"
"Ingenting","0","57"
"Nei, jeg ser den. Er samme her egentlig. Skjer ikke så veldig mye","0","57"
"Mm","1","57"
"Akkurat nå så holde de på å bygge en tunnell, inn til den bygda som jeg bor. Og det er sånn, så rart, for det er ingen som bor der lenger nesten, haha, så det er bare sånn, hvorfor bruke millioner av penger på xxx","0","57"
"Mm","1","57"
"Haha","1","57"
"Kanskje det korter ned en, eh, lengre rute for en, eh, trail- t- eh, leve- leveranse?","0","57"
"Det kan være","0","57"
"Leveranse? Der er ingen butikker, de-","0","57"
"Nei, nei, men om- d- d- men det må jo være en måte å gå gjennom for å komme til en annen plass","0","57"
"Nei, men, eh-","0","57"
"Nei?","1","57"
"Eh, du kommer- når du kommer ut til bygda så er det basically bare en hestesko en vei, og så slutter veien der. Det er bare en bygd og den slutter der. Og så bygger de en tunnell inn dit, haha, liksom bare what?","0","57"
"Hm","1","57"
"Åja","1","57"
